Item Brand,MonthName,Segment,Sum of HL
ABC,2023-01,Drink Shop,7384.0536
ANCHOR,2023-01,Drink Shop,110300.5056
GOLD CROWN,2023-01,Drink Shop,4435.1208
HEINEKEN,2023-01,Drink Shop,488.4264
TIGER,2023-01,Drink Shop,8708.3172
ABC,2023-02,Drink Shop,6213.9528
ANCHOR,2023-02,Drink Shop,62580.672
GOLD CROWN,2023-02,Drink Shop,2166.8328
HEINEKEN,2023-02,Drink Shop,354.8952
TIGER,2023-02,Drink Shop,16907.1012
ABC,2023-03,Drink Shop,9964.7856
ANCHOR,2023-03,Drink Shop,106881.3
GOLD CROWN,2023-03,Drink Shop,3262.4856
HEINEKEN,2023-03,Drink Shop,430.5312
TIGER,2023-03,Drink Shop,20651.9544
ABC,2023-04,Drink Shop,7853.3136
ANCHOR,2023-04,Drink Shop,112727.7768
C02,2023-04,Drink Shop,0
GOLD CROWN,2023-04,Drink Shop,3817.836
HEINEKEN,2023-04,Drink Shop,461.5776
TIGER,2023-04,Drink Shop,14304.9456
ABC,2023-05,Drink Shop,5089.3128
ANCHOR,2023-05,Drink Shop,81405.2072
GOLD CROWN,2023-05,Drink Shop,2786.9688
HEINEKEN,2023-05,Drink Shop,306.7416
TIGER,2023-05,Drink Shop,7664.1048
ABC,2024-01,Drink Shop,2596.4928
ANCHOR,2024-01,Drink Shop,57869.00064
GOLD CROWN,2024-01,Drink Shop,2067.8328
HEINEKEN,2024-01,Drink Shop,272.6064
TIGER,2024-01,Drink Shop,5598.1728
ABC,2024-02,Drink Shop,3638.2896
ANCHOR,2024-02,Drink Shop,52207.6104
GOLD CROWN,2024-02,Drink Shop,1818.2736
HEINEKEN,2024-02,Drink Shop,287.892
TIGER,2024-02,Drink Shop,7152.552
ABC,2024-03,Drink Shop,8529.2856
ANCHOR,2024-03,Drink Shop,67994.2296
GOLD CROWN,2024-03,Drink Shop,1714.284
HEINEKEN,2024-03,Drink Shop,237.5208
TIGER,2024-03,Drink Shop,13800.6
ABC,2024-04,Drink Shop,8920.296
ANCHOR,2024-04,Drink Shop,68806.4256
GOLD CROWN,2024-04,Drink Shop,2479.5936
HEINEKEN,2024-04,Drink Shop,268.884
TIGER,2024-04,Drink Shop,12969
ABC,2024-05,Drink Shop,2179.5048
ANCHOR,2024-05,Drink Shop,34727.3784
GOLD CROWN,2024-05,Drink Shop,900.9
HEINEKEN,2024-05,Drink Shop,147.7872
TIGER,2024-05,Drink Shop,5559.1272
ABC,2023-01,Wholesaler,15548.544
ANCHOR,2023-01,Wholesaler,115907.9067
GOLD CROWN,2023-01,Wholesaler,4831.7544
HEINEKEN,2023-01,Wholesaler,853.3008
TIGER,2023-01,Wholesaler,16790.8752
ABC,2023-02,Wholesaler,11430.3816
ANCHOR,2023-02,Wholesaler,69453.4896
GOLD CROWN,2023-02,Wholesaler,1918.1448
HEINEKEN,2023-02,Wholesaler,514.2456
TIGER,2023-02,Wholesaler,19711.2168
ABC,2023-03,Wholesaler,15736.7232
ANCHOR,2023-03,Wholesaler,145482.6384
GOLD CROWN,2023-03,Wholesaler,2723.1336
HEINEKEN,2023-03,Wholesaler,635.3424
TIGER,2023-03,Wholesaler,23011.0056
ABC,2023-04,Wholesaler,10272.1608
ANCHOR,2023-04,Wholesaler,143460.5736
GOLD CROWN,2023-04,Wholesaler,4009.6584
HEINEKEN,2023-04,Wholesaler,519.8688
TIGER,2023-04,Wholesaler,14614.1424
ABC,2023-05,Wholesaler,8379.9936
ANCHOR,2023-05,Wholesaler,135608.5081
GOLD CROWN,2023-05,Wholesaler,4185.4032
HEINEKEN,2023-05,Wholesaler,478.1304
TIGER,2023-05,Wholesaler,11692.0584
ABC,2024-01,Wholesaler,5052.8808
ANCHOR,2024-01,Wholesaler,191020.8433
GOLD CROWN,2024-01,Wholesaler,7018.704
HEINEKEN,2024-01,Wholesaler,624.7296
TIGER,2024-01,Wholesaler,13614.4008
ABC,2024-02,Wholesaler,9433.4328
ANCHOR,2024-02,Wholesaler,128059.4664
C02,2024-02,Wholesaler,0
GOLD CROWN,2024-02,Wholesaler,6700.7952
HEINEKEN,2024-02,Wholesaler,597.564
TIGER,2024-02,Wholesaler,16050.672
ABC,2024-03,Wholesaler,14831.2296
ANCHOR,2024-03,Wholesaler,192216.8952
GOLD CROWN,2024-03,Wholesaler,4594.9464
HEINEKEN,2024-03,Wholesaler,333.1152
TIGER,2024-03,Wholesaler,42230.232
ABC,2024-04,Wholesaler,12222.144
ANCHOR,2024-04,Wholesaler,180418.6296
GOLD CROWN,2024-04,Wholesaler,7571.5992
HEINEKEN,2024-04,Wholesaler,413.7408
TIGER,2024-04,Wholesaler,34382.7
ABC,2024-05,Wholesaler,2443.6368
ANCHOR,2024-05,Wholesaler,117634.3344
GOLD CROWN,2024-05,Wholesaler,3139.7256
HEINEKEN,2024-05,Wholesaler,328.8384
TIGER,2024-05,Wholesaler,5841.5544
